Year,Dist Name,Crops,Area,Production,Irrigation,Precipitation,Temperature (MAX),Temperature (MIN)
1990,Bareilly,Wheat,162.53,2235.28,157.56,15.587142857142856,27.545714285714286,13.698571428571428
1991,Bareilly,Wheat,162.06,2197.58,157.02,12.512857142857143,27.231428571428573,13.614285714285716
1992,Bareilly,Wheat,181.64,2042.78,179.24,14.784285714285714,27.197142857142858,13.611428571428572
1993,Bareilly,Wheat,183.34,2256.95,181.89,25.11714285714286,27.307142857142857,13.629999999999999
1994,Bareilly,Wheat,168.95,2435.45,168.13,9.207142857142857,28.238571428571426,14.521428571428572
1995,Bareilly,Wheat,157.19,2393.73,156.48,14.767142857142858,27.167142857142856,13.854285714285712
1996,Bareilly,Wheat,165.52,2713.63,165.04,10.005714285714287,28.254285714285714,15.161428571428571
1997,Bareilly,Wheat,182.99,2460.19,181.1,25.25142857142857,27.554285714285715,13.527142857142858
1998,Bareilly,Wheat,193.34,2595.63,192.75,34.16428571428572,26.218571428571426,13.532857142857143
1999,Bareilly,Wheat,187.38,2779.7,187.03,49.86142857142857,28.439999999999998,14.809999999999999
2000,Bareilly,Wheat,190.45,2690.36,190.2,31.34714285714286,28.48714285714286,14.441428571428572
2001,Bareilly,Wheat,183.32,2722.94,183.15,5.452857142857143,28.701428571428576,14.638571428571428
2002,Bareilly,Wheat,180.19,2642.38,180.03,14.58714285714286,28.881428571428575,15.047142857142855
2003,Bareilly,Wheat,200.11,2762.73,199.95,20.107142857142858,28.462857142857143,14.700000000000001
2004,Bareilly,Wheat,208.77,2455.57,208.53,10.875714285714286,29.437142857142852,14.605714285714287
2005,Bareilly,Wheat,194.88,2539.31,194.69,39.075714285714284,28.41571428571429,14.467142857142859
2006,Bareilly,Wheat,183.32,2844.32,183.26,11.81857142857143,28.602857142857143,15.135714285714286
2007,Bareilly,Wheat,191.26,2825.58,191.24,21.278571428571432,28.532857142857143,14.879999999999999
2008,Bareilly,Wheat,208.16,2980.21,208.12,3.1942857142857144,28.42428571428571,14.51857142857143
2009,Bareilly,Wheat,212.16,2789.78,212.14,3.1514285714285717,29.721428571428568,15.36857142857143
2010,Bareilly,Wheat,212.91,2907.19,212.91,37.45571428571428,29.611428571428572,15.238571428571428
2011,Bareilly,Wheat,209.08,3259.95,209.08,12.547142857142859,28.304285714285715,14.708571428571426
2012,Bareilly,Wheat,230.27,3323.92,200.05,7.727142857142857,27.849999999999998,14.847142857142856
2013,Bareilly,Wheat,200.05,3150.96,201.27,19.882857142857144,27.74142857142857,14.104285714285718
2014,Bareilly,Wheat,212.6,1858.0,206.55,29.5,27.27285714285714,14.40857142857143
2015,Bareilly,Wheat,209.61,2930.01,204.28,42.08999999999999,27.73999999999999,14.48142857142857
2016,Bareilly,Wheat,214.08,3656.0,205.78,4.938571428571428,27.88,14.88521978021978
2017,Bareilly,Wheat,195.12,3671.0,202.52,9.601428571428572,27.78,14.460669515669514
1990,Allahabad,Wheat,241.99,1777.51,227.59,10.402857142857142,29.988571428571426,15.0742857142857
1991,Allahabad,Wheat,246.4,2117.33,235.0,9.741428571428571,30.07857142857143,14.985714285714284
1992,Allahabad,Wheat,250.31,1850.07,238.88,6.008571428571428,29.948571428571427,14.791428571428572
1993,Allahabad,Wheat,224.38,1970.1,214.94,8.78,29.69,15.088571428571429
1994,Allahabad,Wheat,249.64,2218.47,238.69,8.435714285714287,30.434285714285714,15.178571428571429
