Year,Dist Name,Crops,Area,Production,Irrigation,Precipitation,Temperature (MIN),Temperature (MAX)
1990,Bareilly,Rice,141.1,309.07,106.2,154.6,24.368000000000002,32.808
1991,Bareilly,Rice,119.94,217.84,112.46,97.97999999999999,24.278,33.588
1992,Bareilly,Rice,140.5,248.8,136.48,99.55999999999999,24.176,32.99
1993,Bareilly,Rice,146.19,282.93,142.46,151.16,24.846,33.30200000000001
1994,Bareilly,Rice,136.65,248.48,133.33,110.74000000000001,24.596,32.995999999999995
1995,Bareilly,Rice,138.82,299.28,137.67,123.16,25.360000000000003,33.748000000000005
1996,Bareilly,Rice,139.63,336.13,136.7,134.56,25.053999999999995,33.068
1997,Bareilly,Rice,163.2,377.19,161.66,145.60000000000002,24.116,32.64200000000001
1998,Bareilly,Rice,173.15,362.08,169.67,200.96,25.252,33.072
1999,Bareilly,Rice,181.92,386.3,180.24,189.07999999999998,24.954,33.41
2000,Bareilly,Rice,179.88,348.36,177.49,37.88,24.966,33.52400000000001
2001,Bareilly,Rice,175.94,364.01,174.96,101.43,25.416,33.542
2002,Bareilly,Rice,123.04,229.95,122.58,109.38,25.618000000000002,33.428000000000004
2003,Bareilly,Rice,160.14,339.27,159.11,116.42,25.162,33.636
2004,Bareilly,Rice,173.31,332.57,187.48,138.48,24.792,33.434
2005,Bareilly,Rice,177.12,333.84,176.86,151.6,25.36,33.773999999999994
2006,Bareilly,Rice,158.73,283.61,158.16,104.8,25.392000000000003,33.122
2007,Bareilly,Rice,152.82,293.46,152.58,177.3,25.484,33.838
2008,Bareilly,Rice,176.56,310.03,176.22,267.1,25.056,32.814
2009,Bareilly,Rice,163.08,290.13,163.05,171.32,25.357999999999997,33.972
2010,Bareilly,Rice,165.69,273.45,164.8,143.42000000000002,25.998,33.49400000000001
2011,Bareilly,Rice,162.32,407.37,162.27,168.44,25.332,32.844
2012,Bareilly,Rice,83.83,191.38,158.82,115.35999999999999,25.846000000000004,33.70399999999999
2013,Bareilly,Rice,162.92,366.56,160.4,236.16,25.470000000000002,32.763999999999996
2014,Bareilly,Rice,163.95,337.57,168.86,88.78,25.857999999999997,33.948
2015,Bareilly,Rice,158.63,327.41,130.55,133.96,25.12,33.33200000000001
2016,Bareilly,Rice,160.28,358.38,167.7,224.76,25.65,33.338
2017,Bareilly,Rice,145.23,357.42,154.76,173.5,25.85,33.652
1990,Bareilly,Maize,3.27,2.68,0.05,154.6,24.368000000000002,32.808
1991,Bareilly,Maize,2.48,2.28,0.11,97.97999999999999,24.278,33.588
1992,Bareilly,Maize,1.5,1.97,0.12,99.55999999999999,24.176,32.99
1993,Bareilly,Maize,1.37,1.43,0.11,151.16,24.846,33.30200000000001
1994,Bareilly,Maize,1.33,1.49,0.08,110.74000000000001,24.596,32.995999999999995
1995,Bareilly,Maize,1.3,1.25,0.18,123.16,25.360000000000003,33.748000000000005
1996,Bareilly,Maize,1.39,1.35,0.24,134.56,25.053999999999995,33.068
1997,Bareilly,Maize,0.53,0.7,0.05,145.60000000000002,24.116,32.64200000000001
1998,Bareilly,Maize,0.76,0.2,0.07,200.96,25.252,33.072
1999,Bareilly,Maize,0.3,0.44,0.06,189.07999999999998,24.954,33.41
2000,Bareilly,Maize,0.3,0.54,0.07,37.88,24.966,33.52400000000001
2001,Bareilly,Maize,0.42,0.65,0.17,101.43,25.416,33.542
2002,Bareilly,Maize,0.46,0.49,0.26,109.38,25.618000000000002,33.428000000000004
2003,Bareilly,Maize,0.52,0.92,0.05,116.42,25.162,33.636
2004,Bareilly,Maize,0.63,0.99,0.3,138.48,24.792,33.434
2005,Bareilly,Maize,0.38,0.55,0.18,151.6,25.36,33.773999999999994
2006,Bareilly,Maize,0.35,0.54,0.19,104.8,25.392000000000003,33.122
2007,Bareilly,Maize,0.26,0.43,0.12,177.3,25.484,33.838
2008,Bareilly,Maize,0.23,0.42,0.08,267.1,25.056,32.814
2009,Bareilly,Maize,0.26,0.44,0.15,171.32,25.357999999999997,33.972
2010,Bareilly,Maize,0.28,0.47,0.15,143.42000000000002,25.998,33.49400000000001
2011,Bareilly,Maize,0.23,0.42,0.12,168.44,25.332,32.844
2012,Bareilly,Maize,0.33,0.68,0.09,115.35999999999999,25.846000000000004,33.70399999999999
2013,Bareilly,Maize,0.46,0.94,0.14,236.16,25.470000000000002,32.763999999999996
2014,Bareilly,Maize,0.47,0.84,0.2,88.78,25.857999999999997,33.948
2015,Bareilly,Maize,0.69,1.25,0.22,133.96,25.12,33.33200000000001
2016,Bareilly,Maize,0.95,1.87,0.22,224.76,25.65,33.338
2017,Bareilly,Maize,0.26,0.58,0.14,173.5,25.85,33.652
1990,Bareilly,Sugarcane,64.16,357.98,54.43,154.6,24.368000000000002,32.808
1991,Bareilly,Sugarcane,71.09,418.07,64.06,97.97999999999999,24.278,33.588
1992,Bareilly,Sugarcane,62.43,374.48,55.35,99.55999999999999,24.176,32.99
1993,Bareilly,Sugarcane,58.19,363.08,51.95,151.16,24.846,33.30200000000001
1994,Bareilly,Sugarcane,70.21,436.66,65.71,110.74000000000001,24.596,32.995999999999995
1995,Bareilly,Sugarcane,82.43,526.52,78.19,123.16,25.360000000000003,33.748000000000005
1996,Bareilly,Sugarcane,85.9,516.02,83.15,134.56,25.053999999999995,33.068
1997,Bareilly,Sugarcane,69.86,439.88,68.21,145.60000000000002,24.116,32.64200000000001
1998,Bareilly,Sugarcane,62.8,365.38,61.08,200.96,25.252,33.072
1999,Bareilly,Sugarcane,65.65,378.48,63.85,189.07999999999998,24.954,33.41
2000,Bareilly,Sugarcane,70.55,392.14,67.86,37.88,24.966,33.52400000000001
2001,Bareilly,Sugarcane,78.26,472.52,76.97,101.43,25.416,33.542
2002,Bareilly,Sugarcane,90.38,496.81,89.19,109.38,25.618000000000002,33.428000000000004
2003,Bareilly,Sugarcane,83.38,440.38,81.93,116.42,25.162,33.636
2004,Bareilly,Sugarcane,67.56,422.8,63.1,138.48,24.792,33.434
2005,Bareilly,Sugarcane,72.23,408.58,71.18,151.6,25.36,33.773999999999994
2006,Bareilly,Sugarcane,91.75,505.55,90.82,104.8,25.392000000000003,33.122
2007,Bareilly,Sugarcane,97.51,546.01,96.58,177.3,25.484,33.838
2008,Bareilly,Sugarcane,75.94,383.52,75.22,267.1,25.056,32.814
2009,Bareilly,Sugarcane,62.68,374.29,62.39,171.32,25.357999999999997,33.972
2010,Bareilly,Sugarcane,71.9,409.11,71.71,143.42000000000002,25.998,33.49400000000001
2011,Bareilly,Sugarcane,82.73,476.83,82.64,168.44,25.332,32.844
2012,Bareilly,Sugarcane,96.52,604.7,92.26,115.35999999999999,25.846000000000004,33.70399999999999
2013,Bareilly,Sugarcane,94.01,578.71,89.91,236.16,25.470000000000002,32.763999999999996
2014,Bareilly,Sugarcane,99.21,612.01,87.65,88.78,25.857999999999997,33.948
2015,Bareilly,Sugarcane,84.85,530.98,78.27,133.96,25.12,33.33200000000001
2016,Bareilly,Sugarcane,94.89,656.18,79.02,224.76,25.65,33.338
2017,Bareilly,Sugarcane,96.96,776.6,85.64,173.5,25.85,33.652
1990,Bareilly,Pearl Millet,9.86,6.34,0.01,154.6,24.368000000000002,32.808
1991,Bareilly,Pearl Millet,12.94,12.16,0.05,97.97999999999999,24.278,33.588
1992,Bareilly,Pearl Millet,15.97,15.6,0.03,99.55999999999999,24.176,32.99
1993,Bareilly,Pearl Millet,14.81,15.17,0.04,151.16,24.846,33.30200000000001
1994,Bareilly,Pearl Millet,11.12,10.98,0.25,110.74000000000001,24.596,32.995999999999995
1995,Bareilly,Pearl Millet,11.8,15.88,0.11,123.16,25.360000000000003,33.748000000000005
