Year,Dist Name,Crops,Area,Production,Irrigation,Precipitation,Temperature (MAX),Temperature (MIN)
1990,Bareilly,Wheat,5.096996459744299,2235.28,5.066133070581678,2.8086278685836015,27.545714285714286,13.698571428571428
1991,Bareilly,Wheat,5.094118231234765,2197.58,5.062721607294587,2.6036416131697657,27.231428571428573,13.614285714285716
1992,Bareilly,Wheat,5.20751700222154,2042.78,5.194289296123989,2.75901487006977,27.197142857142858,13.611428571428572
1993,Bareilly,Wheat,5.216781878565518,2256.95,5.208884879216484,3.2625919131703593,27.307142857142857,13.63
1994,Bareilly,Wheat,5.135504276142125,2435.45,5.13066764998595,2.323087755320563,28.238571428571426,14.521428571428572
1995,Bareilly,Wheat,5.063796842210488,2393.73,5.0592984660755365,2.7579282087294796,27.167142857142856,13.854285714285712
1996,Bareilly,Wheat,5.115115422326775,2713.63,5.112228723184838,2.3984146184345567,28.254285714285714,15.161428571428573
1997,Bareilly,Wheat,5.214881408306002,2460.19,5.2045559867335625,3.267720409325529,27.554285714285715,13.527142857142858
1998,Bareilly,Wheat,5.269609202411293,2595.63,5.2665686682334565,3.5600309571488964,26.218571428571423,13.532857142857145
1999,Bareilly,Wheat,5.2384611993946715,2779.7,5.236601524567384,3.9291048479091497,28.44,14.81
2000,Bareilly,Wheat,5.254626677923303,2690.36,5.2533200006173,3.4765256973291168,28.48714285714286,14.441428571428572
2001,Bareilly,Wheat,5.216673377507527,2722.94,5.2157506428910745,1.8645230006111995,28.701428571428576,14.638571428571428
2002,Bareilly,Wheat,5.1995462044480165,2642.38,5.198662763387852,2.746446398611694,28.88142857142857,15.047142857142855
2003,Bareilly,Wheat,5.303852022046511,2762.73,5.30305612089521,3.0496115072308942,28.462857142857143,14.7
2004,Bareilly,Wheat,5.346011692410698,2455.57,5.344866927201017,2.4744954984876837,29.43714285714285,14.605714285714289
2005,Bareilly,Wheat,5.277502226834117,2539.31,5.276531774476115,3.690770522060152,28.41571428571429,14.46714285714286
2006,Bareilly,Wheat,5.216673377507527,2844.32,5.216347803680786,2.550895012254653,28.602857142857143,15.135714285714286
2007,Bareilly,Wheat,5.25884862263767,2825.58,5.258744591428213,3.103625293998499,28.532857142857143,14.88
2008,Bareilly,Wheat,5.34309950931993,2980.21,5.3429082498759115,1.4337230546910014,28.42428571428571,14.51857142857143
2009,Bareilly,Wheat,5.362043057428582,2789.78,5.36194922679281,1.4234525090868237,29.721428571428568,15.36857142857143
2010,Bareilly,Wheat,5.365555365813714,2907.19,5.365555365813714,3.6495073009227625,29.61142857142857,15.238571428571428
2011,Bareilly,Wheat,5.347488410554486,3259.95,5.347488410554486,2.6061756658403232,28.304285714285715,14.708571428571426
2012,Bareilly,Wheat,5.44358585913928,3323.92,5.303553633343283,2.1664380376063623,27.85,14.847142857142856
2013,Bareilly,Wheat,5.303553633343283,3150.96,5.309603438565004,3.0389285899969325,27.74142857142857,14.104285714285718
2014,Bareilly,Wheat,5.36410510708604,1858.0,5.335372274499048,3.417726683613366,27.27285714285714,14.40857142857143
2015,Bareilly,Wheat,5.3500080819533915,2930.01,5.324374900867326,3.7632909516277464,27.73999999999999,14.48142857142857
2016,Bareilly,Wheat,5.371010051941477,3656.0,5.331655426158547,1.7814686042092327,27.88,14.88521978021978
2017,Bareilly,Wheat,5.278726716783033,3671.0,5.3157642801517575,2.3609887629267288,27.78,14.460669515669514
1990,Allahabad,Wheat,5.493020290230397,1777.51,5.431930005871957,2.4338639505652746,29.988571428571426,15.0742857142857
1991,Allahabad,Wheat,5.511006459958388,2117.33,5.4638318050256105,2.3741080943346224,30.07857142857143,14.985714285714284
1992,Allahabad,Wheat,5.526687236833828,1850.07,5.480138798300309,1.9471338897750299,29.948571428571427,14.791428571428572
1993,Allahabad,Wheat,5.417787866524203,1970.1,5.375000591318995,2.280339484046726,29.69,15.088571428571427
1994,Allahabad,Wheat,5.524017646643936,2218.47,5.479346421754899,2.2445018819130214,30.434285714285718,15.178571428571429
1995,Allahabad,Wheat,5.529032183358565,2155.84,5.483675973499488,2.4404819431282085,29.544285714285717,14.774285714285714
1996,Allahabad,Wheat,5.539065051810604,2167.22,5.495240138219164,2.731952722326219,30.624285714285715,15.784285714285714
1997,Allahabad,Wheat,5.545841286587624,2099.35,5.2045559867335625,2.8471493980301963,29.875714285714288,14.331428571428573
1998,Allahabad,Wheat,5.584623492819887,1916.13,5.271048939393843,2.655854243797945,29.17571428571428,15.08
1999,Allahabad,Wheat,5.598125618797658,2377.06,5.297266814911858,2.0911583453470572,31.167142857142856,15.618571428571428
2000,Allahabad,Wheat,5.6059123543316955,2283.25,5.313895396511355,2.1728017696150816,30.610000000000003,15.874285714285715
2001,Allahabad,Wheat,5.623728655809825,2161.89,5.317286313095639,1.4309945400377975,30.99142857142857,15.358571428571429
2002,Allahabad,Wheat,5.644527747438887,1942.46,5.334745723161588,2.8150664880709777,31.294285714285717,15.885714285714286
2003,Allahabad,Wheat,5.660248472632473,2496.47,5.353752073436137,3.06931459737475,31.012857142857147,15.481428571428571
2004,Allahabad,Wheat,5.6115940836612985,1920.13,5.204830523454572,1.92216096884365,31.45571428571429,15.691428571428572
2005,Allahabad,Wheat,5.629561675624946,1975.43,5.235058026908846,2.2651798736911775,30.44142857142857,16.154285714285713
2006,Allahabad,Wheat,5.63092500235281,2295.16,5.333684510385328,2.528581713290662,30.80428571428572,15.36285714285714
2007,Allahabad,Wheat,5.636538073703367,2183.98,5.260978880892669,2.6083877065590215,30.484285714285715,15.661428571428573
2008,Allahabad,Wheat,5.658854841301066,2504.27,5.349105533380142,1.2717649552363688,30.52142857142857,15.817142857142857
2009,Allahabad,Wheat,5.642616039418714,2205.97,5.332235584751498,0.9900721200929037,32.098571428571425,16.117142857142856
2010,Allahabad,Wheat,5.658227072996699,2510.01,5.329331420077207,2.247223383441575,31.55,15.575714285714286
2011,Allahabad,Wheat,5.667671587643842,2698.02,5.350672596881965,1.4095922733447126,30.44142857142857,16.04285714285714
2012,Allahabad,Wheat,5.693698468202181,2597.18,5.333394893160733,2.322107569006701,30.43285714285715,15.437142857142858
2013,Allahabad,Wheat,5.641587871063083,2434.8,5.348202169477035,2.229246055903201,30.33857142857143,14.781428571428572
2014,Allahabad,Wheat,5.652980287725815,1405.22,5.5152416180483295,3.165053018170694,29.65428571428572,14.821428571428571
2015,Allahabad,Wheat,5.737088293362674,1975.42,5.479054335211753,3.063924824870173,29.641428571428573,14.785714285714286
2016,Allahabad,Wheat,5.701546643714624,3070.41,5.478845649720898,2.1924512985835616,30.01254,15.460494505494507
2017,Allahabad,Wheat,5.649361487114312,3609.38,5.475835739835971,1.8421356765531218,29.86,15.370970695970698
1990,Varanasi,Wheat,5.2428046566177775,2020.83,5.2332453698043215,2.4469739956193504,29.69714285714286,15.6
1991,Varanasi,Wheat,5.253842876446207,2575.04,5.244072351695641,2.505059355855478,30.027142857142856,15.518571428571429
1992,Varanasi,Wheat,5.224886088462154,2297.34,5.205159868061787,1.8868531753872007,29.898571428571422,15.16142857142857
1993,Varanasi,Wheat,5.24391397766865,2555.33,5.238620439289909,2.15772446007388,29.62,15.422857142857142
1994,Varanasi,Wheat,5.2450220694898135,2343.97,5.240953049158466,2.5079719227189963,30.29142857142857,15.681428571428572
1995,Varanasi,Wheat,5.3500080819533915,2354.99,5.014760108673205,2.537770139345068,29.64428571428572,15.295714285714284
1996,Varanasi,Wheat,5.39571627253517,2864.8,5.06284816554319,2.7016488034245647,30.525714285714287,16.075714285714287
1997,Varanasi,Wheat,5.317874865763567,2488.64,4.252344965204106,2.9044781425652983,29.798571428571428,14.932857142857143
1998,Varanasi,Wheat,5.327342045588653,2139.83,4.2426208788567585,2.5384474167160302,29.22,15.47857142857143
1999,Varanasi,Wheat,5.327924711300694,2449.88,4.243051882383293,2.3573438044531727,31.27285714285714,16.285714285714285
2000,Varanasi,Wheat,5.328458523460023,2272.28,4.226103551734458,2.1417454250159906,30.224285714285717,16.557142857142857
2001,Varanasi,Wheat,5.280967728212923,2255.73,4.1852511209097765,1.5566397268671295,30.94857142857143,15.868571428571428
2002,Varanasi,Wheat,5.335661319688458,1810.46,4.217594110715667,2.75019703192488,31.168571428571425,16.405714285714286
2003,Varanasi,Wheat,5.348154601395208,2250.55,4.2447740412475055,3.01777329014515,30.822857142857146,15.917142857142856
2004,Varanasi,Wheat,5.345296367742031,1573.48,4.254619308757319,2.270504542387561,31.238571428571426,16.34
2005,Varanasi,Wheat,5.349723154607937,1940.78,4.250350662548819,2.4312295640451733,30.435714285714287,16.678571428571427
2006,Varanasi,Wheat,5.3864198147695825,2393.34,4.252202646837681,2.473050933411631,30.90571428571429,15.934285714285716
2007,Varanasi,Wheat,5.387975238478572,2338.86,4.2487809155265195,2.523440313790243,30.528571428571432,16.23142857142857
2008,Varanasi,Wheat,5.364058289510713,2548.76,4.252344965204106,1.759826422125046,30.53142857142857,16.421428571428574
2009,Varanasi,Wheat,5.362605856430399,2253.3,4.256179924807906,1.039771788645176,31.95,16.62
2010,Varanasi,Wheat,5.3641987356615495,2694.01,4.249209272783016,2.170685022101607,31.60857142857143,16.162857142857142
2011,Varanasi,Wheat,5.375417286928885,2844.21,4.25405120762004,1.6990174175294401,30.50428571428572,16.55
2012,Varanasi,Wheat,5.395534817263396,2986.74,4.249209272783016,2.5624186854832227,30.398571428571422,15.968571428571428
2013,Varanasi,Wheat,5.397981689660982,2678.81,4.25405120762004,2.0559535603726222,30.31428571428572,15.162857142857144
2014,Varanasi,Wheat,5.3618084643292345,1609.17,4.250208060053033,3.1991977612422167,29.527142857142856,15.458571428571428
2015,Varanasi,Wheat,5.37564870948436,2142.97,4.28317268312119,2.7544793035137123,29.185714285714283,15.29142857142857
2016,Varanasi,Wheat,5.380588358980831,3134.62,4.282896668766692,2.431731887300744,30.85721,15.707472527472529
2017,Varanasi,Wheat,5.44358585913928,3464.76,4.290185431008302,1.9923652275168984,30.12458,15.878848188848186
1990,Lucknow,Wheat,4.398637900479079,2071.07,4.376385754783795,2.613739521630969,28.930000000000003,13.698571428571428
1991,Lucknow,Wheat,4.3765114539857715,2318.1,4.35491234218231,2.569444732610414,28.799999999999997,14.27
1992,Lucknow,Wheat,4.3665322137152325,1945.48,4.349503442968322,2.432861192897896,28.690000000000005,13.921428571428573
1993,Lucknow,Wheat,4.401951803481151,1852.5,4.392595586023115,2.824096279385713,28.60428571428572,14.321428571428571
1994,Lucknow,Wheat,4.398023007758481,2268.28,4.389002248410307,2.234000301496434,29.455714285714286,14.179999999999998
1995,Lucknow,Wheat,4.389250479763201,2223.8,4.381401439279963,2.6094393419488218,28.47428571428572,14.70142857142857
1996,Lucknow,Wheat,4.405010471064257,2485.53,4.39974375547904,2.6181254935742233,29.544285714285717,14.504285714285714
1997,Lucknow,Wheat,4.415340513703815,2203.65,4.386765389021055,3.3670494942295934,28.90142857142857,14.794285714285715
1998,Lucknow,Wheat,4.408546844483277,1970.79,4.398146016553765,3.198381529853616,27.795714285714286,14.215714285714284
1999,Lucknow,Wheat,4.404888303817144,2535.19,4.400234854322551,2.99558940620608,29.947142857142858,14.517142857142858
2000,Lucknow,Wheat,4.565701442077724,2604.96,4.562367063662782,3.095577608523707,29.728571428571428,15.215714285714286
2001,Lucknow,Wheat,4.462684537691336,2488.33,4.4607222816222185,1.5331737712639133,29.987142857142853,15.002857142857144
2002,Lucknow,Wheat,4.4474631899580555,2412.39,4.446994751022215,3.121798370067242,30.214285714285715,15.1
2003,Lucknow,Wheat,4.458292990127331,2324.94,4.456206032848133,3.360623372264064,29.86571428571429,15.315714285714288
2004,Lucknow,Wheat,4.454231010422805,2420.05,4.453416630760555,2.196748273445338,30.697142857142858,14.724285714285712
2005,Lucknow,Wheat,4.441591872011272,2367.06,4.441238494305727,2.854415551706819,29.65571428571428,15.088571428571427
2006,Lucknow,Wheat,4.446994751022215,2676.78,4.4467604492404496,2.7017446485389334,29.84142857142857,14.962857142857144
2007,Lucknow,Wheat,4.443709519861466,2574.27,4.4435919903320364,2.68969224405298,29.65571428571429,16.0
